from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246098324610002+1839075+0,246098324610002+1838827+1,1,
33,33,,,246106124610634+1839075+0,246106124610634+1838827+1,1,
33,33,,,246108924610914+1839075+0,246108924610914+1838827+1,1,
33,33,,,246098124609886+1839555+0,246098124609886+1839249+0,1,
33,33,,,246098224609897+1839556+0,246098224609897+1839250+0,1,
33,33,,,246106024610656+1839565+0,246106024610656+1839264+0,1,
33,33,,,246107224610866+1839565+0,246107224610866+1839264+0,1,
33,33,,,246106724610841+1839571+0,246106724610841+1839021+0,1,
33,33,,,246098124609886+1839574+0,246098124609886+1839276+0,1,
33,33,,,246100724610096+1839577+0,246100724610096+1839278+0,1,
33,33,,,246103524610446+1839577+0,246103524610446+1839278+0,1,
33,33,,,246105124610586+1839577+0,246105124610586+1839278+0,1,
33,33,,,246099524610026+1839589+0,246099524610026+1839292+0,1,
33,33,,,246106024610651+1839589+0,246106024610651+1839292+0,1,
33,33,,,246099624611717+1839590+0,246099624611717+1839293+0,1,
33,33,,,246098824609886+1839617+0,246098124609886+1839326+0,1,
33,33,,,246103524610444+1839618+0,246103524610444+1839328+0,1,
33,33,,,246103524610446+1839618+0,246103524610446+1839328+0,1,
33,33,,,246106024610651+1839628+0,246106024610651+1839346+0,1,
33,33,,,246098124609816+1839634+0,246098124609886+1839365+0,1,
33,33,,,246099524610026+1839637+0,246099524610026+1839367+0,1,
33,33,,,246105124610586+1839637+0,246105124610586+1839367+0,1,
33,33,,,246107224610866+1839637+0,246107224610866+1839367+0,1,
33,33,,,246100724610095+1839647+0,246100724610095+1839383+0,1,
33,33,,,246103524610444+1839666+0,246103524610444+1839399+0,1,
33,33,,,246100724610095+1839681+0,246100724610095+1839419+0,1,
33,33,,,246101624610306+1839681+0,246101624610306+1839419+0,1,
33,33,,,246103524610446+1839691+0,246103524610446+1839437+0,1,
33,33,,,246098324610001+1839697+0,246098324610001+1839031+0,1,
33,33,,,246109524611754+1839697+0,246109524611754+1839031+0,1,
33,33,,,246101524611765+1839698+0,246101524611765+1839032+0,1,
33,33,,,246098124609816+1839700+0,246098124609886+1839456+0,1,
33,33,,,246108824610936+1839703+0,246108824610936+1839458+0,1,
33,33,,,246100724610094+1839711+0,246100724610094+1839474+0,1,
33,33,,,246099524610026+1839719+0,246099524610026+1839486+0,1,
33,33,,,246101624610306+1839719+0,246101624610306+1839486+0,1,
