from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246103224610413+1827036+0,246103224610413+1826339+0,1,
33,33,,,246101524611765+1827040+0,246101524611765+1826343+0,1,
33,33,,,246097624610004+1827041+0,246097624610004+1826344+0,1,
33,33,,,246101124610284+1827041+0,246101124610284+1826344+0,1,
33,33,,,246108924610912+1827041+0,246108924610912+1826344+0,1,
33,33,,,246103224610412+1827042+0,246103224610412+1826345+0,1,
33,33,,,246101524610295+1826357+0,246101524611765+1826109+1,1,
33,33,,,246104624610563+1826358+0,246104624610563+1826110+1,1,
33,33,,,246106724610841+1826358+0,246106724610841+1826110+1,1,
33,33,,,246108924610912+1826358+0,246108924610912+1826110+1,1,
33,33,,,246109524611751+1826358+0,246109524611751+1826110+1,1,
33,33,,,246103224610412+1826359+0,246103224610412+1826111+1,1,
33,33,,,246100424610052+1826369+1,246100424610052+1826129+1,1,
33,33,,,246106724610841+1826369+1,246106724610841+1826129+1,1,
33,33,,,246103224610413+1826370+1,246103224610413+1826130+1,1,
33,33,,,246106124610632+1826380+1,246106124610632+1826135+1,1,
33,33,,,246106724610841+1826380+1,246106724610841+1826135+1,1,
33,33,,,246106724610843+1826380+1,246106724610843+1826135+1,1,
33,33,,,246106724610844+1826380+1,246106724610844+1826135+1,1,
33,33,,,246108924610914+1826380+1,246108924610914+1826135+1,1,
33,33,,,246109524611751+1826380+1,246109524611751+1826135+1,1,
33,33,,,246101124610283+1826380+1,246101124610283+1826141+1,1,
33,33,,,246101124610284+1826380+1,246101124610284+1826141+1,1,
33,33,,,246106724610841+1826380+1,246106724610841+1826141+1,1,
33,33,,,246106724610843+1826380+1,246106724610843+1826141+1,1,
33,33,,,246103224610411+1826381+1,246103224610411+1826142+1,1,
33,33,,,246100624610063+1826381+1,246100624610063+1826136+1,1,
33,33,,,246101124610282+1826388+1,246101124610282+1826148+1,1,
33,33,,,246104624610564+1826388+1,246104624610564+1826148+1,1,
33,33,,,246100624610063+1826389+1,246100624610063+1826149+1,1,
33,33,,,246104624610564+1826392+1,246104624610564+1826169+1,1,
33,33,,,246108924610914+1826392+1,246108924610914+1826169+1,1,
33,33,,,246109524611752+1826392+1,246109524611752+1826169+1,1,
33,33,,,246100624610063+1826393+1,246100624610063+1826170+1,1,
33,33,,,246097624610003+1826412+1,246097624610003+1826181+1,1,
33,33,,,246104624610562+1826412+1,246104624610562+1826181+1,1,
33,33,,,246106724610841+1826412+1,246106724610841+1826181+1,1,
33,33,,,246108924610912+1826412+1,246108924610912+1826181+1,1,
33,33,,,246103224610412+1826413+1,246103224610412+1826182+1,1,
33,33,,,246097624610001+1826421+1,246097624610001+1826187+1,1,
33,33,,,246097624610002+1826421+1,246097624610002+1826187+1,1,
33,33,,,246106124610633+1826421+1,246106124610633+1826187+1,1,
33,33,,,246103224610411+1826422+1,246103924610401+1826188+1,1,
33,33,,,246101124610281+1826423+1,246101124610281+1826187+1,1,
33,33,,,246101124610282+1826423+1,246101124610282+1826187+1,1,
33,33,,,246104624610561+1826423+1,246104624610561+1826187+1,1,
33,33,,,246108924610912+1826423+1,246108924610912+1826187+1,1,
33,33,,,246097624610003+1826428+1,246097624610003+1826190+1,1,
33,33,,,246104624610561+1826428+1,246104624610561+1826190+1,1,
33,33,,,246104624610564+1826428+1,246104624610564+1826190+1,1,
33,33,,,246109524611752+1826428+1,246109524611752+1826190+1,1,
33,33,,,246101524611765+1826433+1,246101524611765+1826201+1,1,
33,33,,,246104624610563+1826434+1,246104624610563+1826202+1,1,
33,33,,,246109524611753+1826434+1,246109524611753+1826202+1,1,
33,33,,,246097624610001+1826446+0,246097624610001+1824357+0,1,
33,33,,,246100424610051+1826446+0,246100424610051+1824357+0,1,
33,33,,,246104624610563+1826446+0,246104624610563+1824357+0,1,
33,33,,,246106724610841+1826446+0,246106724610841+1824357+0,1,
33,33,,,246103224610342+1826447+0,246103224610412+1824358+0,1,
33,33,,,246103924610401+1826447+0,246103224610411+1824358+0,1,
33,33,,,246097624610001+1826449+0,246097624610001+1826219+0,1,
33,33,,,246097624610004+1826449+0,246097624610004+1826219+0,1,
33,33,,,246100424610051+1826449+0,246100424610051+1826219+0,1,
33,33,,,246104624610562+1826449+0,246104624610562+1826219+0,1,
33,33,,,246106124610632+1826449+0,246106124610632+1826219+0,1,
33,33,,,246101524611765+1826457+0,246101524611765+1826227+0,1,
33,33,,,246104624610562+1826458+0,246104624610562+1826228+0,1,
33,33,,,246104624610563+1826458+0,246104624610563+1826228+0,1,
33,33,,,246097624610002+1826467+0,246097624610002+1826234+0,1,
33,33,,,246097624610004+1826467+0,246097624610004+1826234+0,1,
33,33,,,246104624610561+1826467+0,246104624610561+1826234+0,1,
33,33,,,246104624610564+1826467+0,246104624610564+1826234+0,1,
33,33,,,246106124610634+1826467+0,246106124610634+1826234+0,1,
33,33,,,246097624610003+1826476+0,246097624610003+1826243+0,1,
33,33,,,246100424610051+1826476+0,246100424610051+1826243+0,1,
33,33,,,246104624610561+1826476+0,246104624610561+1826243+0,1,
33,33,,,246104624610562+1826476+0,246104624610562+1826243+0,1,
33,33,,,246106124610632+1826476+0,246106124610632+1826243+0,1,
33,33,,,246106124610633+1826476+0,246106124610633+1826243+0,1,
33,33,,,246106724610843+1826476+0,246106724610843+1826243+0,1,
33,33,,,246108924610914+1826476+0,246108924610914+1826243+0,1,
